house,quality label
Ackermanville,0
Adairsville,3
Airport,3
Akiak,2
Aldine,2
Aldrich,0
Alfred,1
Allensville,3
Almena,3
Almota,3
Aloha,3
Alstown,1
American,3
Ancor,3
Annona,3
Anthoston,1
Apache,0
Arbutus,3
Archer,2
Arona,3
Artois,3
Ashport,2
Assinippi,2
Athens,3
Auburn,3
Aulander,2
Badger,3
Ballantine,1
Baneberry,3
Barahona,3
Barboursville,3
Barranquitas,3
Bautista,1
Beechwood,1
Bellemeade,3
Bellwood,0
Belpre,2
Benevolence,2
Benicia,3
Bertram,3
Bethlehem,2
Bettendorf,0
Biltmore,0
Blackstone,1
Blenheim,3
Bohemia,1
Bonesteel,3
Bonnie,2
Booth,2
Bountiful,2
Bowmore,0
Branford,2
Braxton,1
Bremerton,2
Brewton,2
Brinnon,3
Broadwell,3
Broseley,2
Brown,0
Browntown,3
Burien,3
Bushong,0
Byers,2
Cabin,2
Calavo,3
Callicoon,0
Calmar,3
Carneiro,2
Carpendale,2
Carpio,3
Cashel,2
Cason,1
Castor,2
Castroville,3
Cauthron,3
Cayuse,1
Cebolla,1
Channel,1
Checotah,2
Chesaning,0
Chesterbrook,2
Chilhowie,3
Chiloquin,1
Chireno,3
Chrisney,3
Churchton,2
Circleville,2
Cisne,3
Clairton,3
Clarkridge,2
Clive,3
Cobalt,1
Cochranton,3
Codell,2
Coeburn,3
Coffeen,1
Cohoes,2
Cokeville,2
Collierville,3
Connoquenessing,2
Copemish,1
Corder,0
Cornville,3
Coronado,2
Corozal,3
Cosmos,2
Cottonport,3
Couderay,3
Country,2
Cousins,2
Creede,3
Crookston,2
Crugers,2
Culbertson,3
Cullison,3
Cutlerville,3
Dalcour,3
Dansville,3
Darden,3
Darnestown,2
Darrtown,2
Deatsville,3
Dedham,2
Deemston,2
Destin,3
Divide,3
Donaldson,1
Duarte,3
Duluth,2
Eagan,3
Edson,3
Ellaville,3
Elton,2
Emmaus,3
Euharlee,3
Everton,3
Ewell,3
Experiment,3
Fedora,2
Fishersville,1
Fitchburg,1
Fleming,2
Fonda,1
Forkland,2
Foyil,1
Frankfort,1
Frankton,0
Fredericksburg,1
Freedom,2
Frierson,3
Frontenac,1
Funkstown,2
Galatia,3
Gasburg,3
Gastonia,2
Gaylord,3
German,1
Germfask,3
Gilbert,2
Gladstone,3
Glassboro,2
Glenmoor,2
Globe,2
Gloria,2
Gluck,2
Gluek,1
Goodfield,3
Goodview,3
Goodwine,3
Goodyear,2
Gough,1
Grace,0
Graceville,3
Gracey,1
Grainola,1
Grangeville,3
Grantsville,3
Grassy,1
Gratz,1
Gravelly,3
Grigston,2
Haaswood,1
Hacienda,2
Halfway,3
Hallettsville,3
Hammon,2
Hanson,2
Harkeyville,2
Harrellsville,3
Hartline,1
Hatfield,3
Haymarket,2
Helix,2
Helton,3
Hendrix,3
Hennepin,2
Hercules,2
Herricks,2
Highspire,3
Hildebran,3
Hindsboro,2
Hitchland,2
Hiteman,2
Hobson,2
Holcut,2
Hordville,2
Hornsby,2
Hortense,3
Howie,3
Hurley,2
Idanha,2
Ihlen,2
Imbery,2
Inkom,3
Irvine,3
Islandton,2
